Date,cumulative_strategy,cumulative_benchmark
2022-11-16,1.0,0.984075932686385
2022-11-17,1.0238688756216319,0.9605871466468523
2022-11-18,1.0620005697959862,0.9248122381835837
2022-11-21,1.0965012782771173,0.8947683019213992
2022-11-22,1.1307746828795662,0.866800476762651
2022-11-23,1.188298145787956,0.8227056046108826
2022-11-25,1.2418083505466317,0.7856583824849515
2022-11-28,1.2840035140570003,0.758962649687172
2022-11-29,1.3405886285487234,0.7255157097393241
2022-11-30,1.4164317233952302,0.6844700409826386
2022-12-01,1.4988033151649838,0.6446651666189795
2022-12-02,1.589930814973991,0.6054694134113761
2022-12-05,1.6479284815980173,0.5833830352750718
2022-12-06,1.7036056029319069,0.5636727818254528
2022-12-07,1.7204254103361112,0.5581076042908288
2022-12-08,1.7514263786937603,0.5480508613034051
2022-12-09,1.7581615889819482,0.5459433003779759
2022-12-12,1.7673917218206,0.5430771649690124
2022-12-13,1.7513519131161024,0.5381485157452225
2022-12-14,1.749699321882967,0.5386563174683284
2022-12-15,1.7924654948070444,0.5518221619830913
2022-12-16,1.8280601968933212,0.5627802225523453
2022-12-19,1.8669375589406438,0.5747488713432456
2022-12-20,1.9406991770891506,0.5974568652856684
2022-12-21,2.0114381531299403,0.6192343191939238
2022-12-22,2.1138205724876657,0.6507534129576347
2022-12-23,2.2080534971121977,0.6797636317579115
2022-12-27,2.3413583626919436,0.7208024017315557
2022-12-28,2.5191873345543216,0.7755482074391804
2022-12-29,2.6294567475788537,0.8094953635055536
2022-12-30,2.7918332162945285,0.859484015605944
2023-01-03,3.007250654233659,0.9258016750960787
2023-01-04,3.262310733094422,1.004323579456461
2023-01-05,3.543626136775864,1.0909283563452625
2023-01-06,3.7401364087577544,1.151425321810478
2023-01-09,4.001430505044606,1.2318664089857432
2023-01-10,4.20420490462012,1.294291826876774
2023-01-11,4.322707231655932,1.3307735390739555
2023-01-12,4.439142994336575,1.3666190459920673
2023-01-13,4.5925502273769,1.4138464605478316
2023-01-17,4.759590869691347,1.4652710088295406
2023-01-18,5.024581943919003,1.546850234711525
2023-01-19,5.271451651851669,1.622850680105986
2023-01-20,5.412745172673777,1.6663488095596029
2023-01-23,5.3824889606436965,1.6570342378792955
2023-01-24,5.347784535609395,1.6463502548914557
2023-01-25,5.347784535609395,1.644751586176963
2023-01-26,5.228736632347245,1.608137503014551
2023-01-27,5.342185978421164,1.5732452984645493
2023-01-30,5.4055035702925665,1.5545986051213834
2023-01-31,5.5715302087592615,1.5068500878524649
2023-02-01,5.75799567182881,1.4564195079435442
2023-02-02,5.942757881097709,1.4096860087805436
2023-02-03,6.069271150759086,1.3796757021628052
2023-02-06,6.253383003057392,1.3378231233627311
2023-02-07,6.511672936205242,1.2825656339481113
2023-02-08,6.827210114600954,1.2204161456049303
2023-02-09,7.195058007839746,1.1546605147543012
2023-02-10,7.60789171828921,1.0884090982825907
2023-02-13,8.008762911492495,1.0310591950402812
2023-02-14,8.481605778458684,0.9701847514860716
2023-02-15,8.864664640646469,0.9263678285208393
2023-02-16,9.241255980106807,0.8870135928539853
2023-02-17,9.530155003586303,0.8592838815095327
2023-02-21,9.51697072723883,0.8604726382664258
2023-02-22,9.645928899686085,0.848812942965051
2023-02-23,9.798828471393517,0.8353582371727138
2023-02-24,9.798828471393517,0.8355581216898799
2023-02-27,9.78723898923104,0.8345698723317747
2023-02-28,9.790000309301988,0.8348053334808907
2023-03-01,9.979339622624405,0.8509505289462045
2023-03-02,10.153492687555605,0.8658007743857754
2023-03-03,10.31328806782192,0.8794267224447534
2023-03-06,10.507125785443334,0.8959555023617845
2023-03-07,10.808208910685273,0.9216292297195099
2023-03-08,11.074541443872143,0.9443397314722649
2023-03-09,11.602220732636207,0.9893355916061092
2023-03-10,12.345898597042385,1.0527499151999582
2023-03-13,13.15656465377948,1.1218764041126332
2023-03-14,13.736162303900379,1.171299406595502
2023-03-15,14.633653436509356,1.2478295762158131
2023-03-16,15.289017786068898,1.3037132980851283
2023-03-17,16.20511570349197,1.3818300910671342
2023-03-20,17.038835150899658,1.4529223708765004
2023-03-21,17.68435639216859,1.5079667588296333
2023-03-22,18.550479028054607,1.5818220982619697
2023-03-23,19.418641231402535,1.6558513541132442
2023-03-24,20.230646885554265,1.7250920721404364
2023-03-27,20.709260722391473,1.7659040610113481
2023-03-28,21.151055904551228,1.8035764780410695
2023-03-29,21.71577602419428,1.8517308552533007
2023-03-30,22.351836943782896,1.905968549973986
2023-03-31,22.670363621605254,1.9331297104541751
2023-04-03,22.6432675994071,1.930819199408977
2023-04-04,22.588875951404596,1.9261811568742733
2023-04-05,22.588875951404596,1.9124496026298377
2023-04-06,22.588875951404596,1.9269990478099903
2023-04-10,22.74835307628335,1.940603632139461
2023-04-11,22.691716763515302,1.9454351306615782
2023-04-12,22.43834397995884,1.9671576084899984
2023-04-13,22.43834397995884,1.9597562045105827
2023-04-14,22.511879920509784,1.9533336041672618
2023-04-17,22.593439416696878,1.9462567671725843
2023-04-18,22.83797938930037,1.9251914672974346
2023-04-19,22.814616543063444,1.9271609038863904
2023-04-20,22.43752222027136,1.959014230660071
2023-04-21,22.120190583716205,1.9867203733324807
2023-04-24,22.120190583716205,2.0134161447259626
2023-04-25,22.521944294415864,2.0499844285418227
2023-04-26,22.850946757730274,2.079930774111715
2023-04-27,22.938970366937166,2.0879428278606853
2023-04-28,23.136865475262017,2.1059555662480687
2023-05-01,23.345869283248224,2.1249794367575032
2023-05-02,23.687309089646135,2.1560578497599545
2023-05-03,24.441631944318498,2.2247175571971565
